     simstep                 bin0000
         100  -8.623380429381230e-03
         200   2.117009474444506e-03
         300   1.662688882380483e-02
         400   1.465869905734064e-02
         500   2.657459176804044e-02
         600   1.937770719572256e-02
         700  -2.505629455395470e-02
         800  -1.828963914562210e-02
         900  -2.642474565402963e-02
        1000  -9.375376849367594e-04
        1100   6.882661663191392e-03
        1200  -5.831763333386818e-03
        1300  -2.016460090486757e-02
        1400  -9.914328306199363e-03
        1500   2.532003175999229e-02
        1600  -1.042501027400521e-02
        1700  -1.542188614556133e-03
        1800   7.365921427787420e-03
        1900  -1.143355883230178e-02
        2000   1.887277748611724e-02
        2100   1.321266372430585e-02
        2200  -8.000795955343377e-03
        2300  -1.834250004061967e-02
        2400  -7.000189508374403e-03
        2500   5.820867311973566e-03
        2600   2.105368771102603e-02
        2700   8.119669442216983e-03
        2800  -7.466937980602117e-03
        2900  -1.083722283845911e-03
        3000  -1.600695752738009e-02
        3100  -1.897646581531968e-02
        3200  -1.744708917713505e-02
        3300   1.576149190117361e-02
        3400   1.034621347914260e-02
        3500   1.198089216912143e-02
        3600  -1.591123681104061e-02
        3700   1.853928872270766e-04
        3800   7.453824505308363e-03
        3900  -2.701174825714307e-02
        4000  -3.568912351978487e-04
        4100   4.666984834722827e-03
        4200  -3.134541150810406e-03
        4300   3.469132398448314e-02
        4400   8.725124402551235e-04
        4500   7.374612879099578e-03
        4600   1.017502901555415e-03
        4700   8.077531521606588e-03
        4800  -1.314389047957391e-03
        4900   1.615669273349771e-02
        5000  -2.125475312419518e-02
        5100   2.372109168436021e-02
        5200  -6.359625987326195e-03
        5300   8.644898526040256e-03
        5400   1.040581490865109e-02
        5500   6.053224472300850e-05
        5600  -1.107750421528356e-03
        5700  -1.711411936666200e-02
        5800  -4.853112149153851e-03
        5900   8.153458700410376e-03
        6000   1.927963678601656e-02
        6100  -2.145465536524646e-03
        6200   4.576068215673827e-03
        6300   2.528059364175533e-02
        6400  -6.848495140364620e-03
        6500  -7.410037499762020e-03
        6600  -1.570873106488654e-02
        6700  -1.246026585759471e-02
        6800  -3.785086332725383e-03
        6900  -4.302863521554250e-03
        7000   3.651102350171321e-02
        7100  -7.350172870217649e-03
        7200   6.743499062361800e-04
        7300  -8.586323341334101e-03
        7400   3.438211225085224e-03
        7500   1.965299202098850e-03
        7600   1.101051987092844e-02
        7700   1.506838288804018e-02
        7800  -5.890681804497194e-03
        7900   7.875678262261264e-03
        8000  -1.609154322552003e-03
        8100   1.564219571017609e-02
        8200   1.970719246388447e-02
        8300   9.018033101662147e-03
        8400   1.064559431559331e-02
        8500  -1.023039788696953e-02
        8600   6.464157256820092e-03
        8700   3.820424798089953e-03
        8800   2.155117775928039e-03
        8900  -1.568964050717515e-02
        9000  -7.868175340047618e-03
        9100   5.758250546083039e-04
        9200  -1.444464004141264e-03
        9300   1.565569497816115e-02
        9400   1.630917850843542e-02
        9500   8.047734403389203e-03
        9600   7.017077405913706e-03
        9700  -1.081757196150641e-02
        9800  -9.354412846850657e-03
        9900   2.690624669629706e-02
       10000  -1.251311817287688e-02
       10100  -3.020598669842013e-03
       10200   5.505417074069735e-03
       10300   1.195425290533560e-02
       10400   1.464969488085760e-02
       10500  -6.589218152204786e-04
       10600   2.844121803523409e-04
       10700   1.044285036200824e-02
       10800  -2.627336765862189e-02
       10900   2.456073555227407e-03
       11000   8.925711627974918e-04
       11100   5.012377732311362e-03
       11200  -2.547681609447413e-03
       11300   1.782823796029362e-02
       11400   1.472050142060752e-02
       11500  -4.315905715152201e-03
       11600  -2.135445804846511e-02
       11700  -6.157636609324479e-03
       11800   1.964201203280305e-02
       11900   7.258703880405414e-03
       12000   1.101133718210343e-02
       12100   2.315869288259270e-03
       12200  -6.767962452271842e-03
       12300   1.285914638598332e-04
       12400  -3.054473369033322e-03
       12500   1.449780959428133e-02
       12600  -2.485154508425073e-02
       12700   4.470274746420382e-03
       12800  -1.259495891531992e-03
       12900   1.291300788752646e-03
       13000   1.553907630190834e-02
       13100   1.164939866078873e-02
       13200  -7.478571339315039e-03
       13300  -1.205064840872421e-02
       13400  -8.485365622224744e-03
       13500  -1.087494588800022e-02
       13600   1.278334386450888e-02
       13700  -8.191499302829062e-03
       13800  -1.182324098961191e-02
       13900  -1.694325571381108e-03
       14000   2.950265012295798e-02
       14100  -1.693645482426243e-02
       14200  -3.334476054233768e-02
       14300   1.657878473231180e-02
       14400  -1.805912095409167e-02
       14500  -1.033051845346760e-02
       14600   1.674830733345961e-02
       14700   3.788734676250917e-03
       14800   2.887048732318468e-02
       14900   1.608176775584820e-02
       15000  -1.893867578369490e-02
       15100  -3.042522567065070e-03
       15200  -1.924187201575437e-02
       15300  -5.598208968178707e-03
       15400  -1.870871072029836e-02
       15500   2.634313766596261e-03
       15600  -7.933167981489960e-03
       15700  -9.512437938609244e-03
       15800  -2.054950742163751e-02
       15900   1.216532277123900e-02
       16000  -9.499191177810826e-03
       16100   1.132471180273350e-02
       16200   2.077094128970133e-03
       16300   1.361995846163703e-02
       16400   8.374213971717840e-03
       16500  -4.947165044359891e-03
       16600   7.783582286175550e-03
       16700  -1.038919057104147e-03
       16800  -2.672520502874898e-02
       16900  -1.607532529521592e-02
       17000  -6.554759801245540e-03
       17100   7.652566665331585e-03
       17200  -2.266016741742264e-02
       17300  -1.717070132021831e-03
       17400   3.792825608929112e-02
       17500   2.580078931525670e-02
       17600   2.243195315799745e-02
       17700  -3.196332007669821e-02
       17800  -1.404001830732783e-02
       17900   3.563321941104611e-02
       18000  -4.523748652416682e-03
       18100   3.677828427307887e-03
       18200  -8.468338869213972e-03
       18300   6.327143695940512e-03
       18400   1.931541466692727e-02
       18500  -2.514261505078288e-02
       18600  -1.647487676202440e-02
       18700   2.120618631765676e-02
       18800   5.373377593620618e-03
       18900  -2.101120573331785e-02
       19000   6.952960554349439e-03
       19100  -8.070989063779664e-03
       19200  -9.509991847712312e-03
       19300  -8.262852764172357e-03
       19400  -1.129215305206261e-02
       19500   3.199839052765546e-02
       19600   2.590529691026711e-02
       19700  -1.307414888021198e-02
       19800  -4.956490564168040e-02
       19900  -6.537237700737645e-03
       20000   1.658319876902153e-02
       20100  -1.093644666943822e-04
       20200  -1.435643477937954e-02
       20300   2.977643272863632e-02
       20400   1.616002830933991e-03
       20500  -3.444186900319468e-02
       20600  -2.971462318506876e-02
       20700  -1.441825619630604e-04
       20800   9.089660835614900e-03
       20900  -1.527182306585432e-02
       21000  -1.629472846302771e-02
       21100  -6.342611411447352e-03
       21200  -1.943795676362139e-02
       21300   1.009880643302103e-04
       21400   1.484147133769995e-02
       21500   1.479073294386255e-02
       21600  -1.913803215102565e-03
       21700   2.276026729859837e-02
       21800  -5.349846690927916e-02
       21900  -9.481269162667382e-03
       22000   2.321334767671983e-02
       22100   3.816429848501726e-04
       22200   2.238049898599050e-02
       22300  -4.853138794861737e-02
       22400  -1.595422227170770e-02
       22500   1.555501654537099e-02
       22600   5.990712107290348e-03
       22700   1.999464254577573e-02
       22800  -1.054797375907007e-02
       22900   3.491769040237601e-03
       23000   1.100148694794420e-03
       23100  -1.427319842140652e-02
       23200  -1.960621381479479e-02
       23300  -1.351067407634849e-02
       23400  -4.286838824898001e-03
       23500   3.292857272971331e-02
       23600  -9.236875134883025e-03
       23700   8.651263701050961e-03
       23800  -1.199523603358148e-02
       23900   1.301700479397480e-02
       24000  -1.239574974162883e-02
       24100   1.454824046653008e-02
       24200  -2.897142939510423e-03
       24300  -3.390393904071030e-02
       24400   1.960471705514508e-02
       24500   1.137788996059279e-02
       24600   1.028562192468275e-03
       24700  -1.034473681045216e-02
       24800  -2.578499809453999e-02
       24900   3.847532577812932e-03
       25000  -6.020973880866158e-03
       25100  -7.905221513534746e-03
       25200   3.923560668914901e-03
       25300   8.783333510832699e-05
       25400  -1.642754591742056e-02
       25500   2.623837572129663e-02
       25600  -2.822949545936575e-02
       25700  -7.082575996425821e-03
       25800  -2.995181977962694e-03
       25900   3.698454913115298e-02
       26000  -1.281031852916937e-02
       26100  -3.158474916154719e-02
       26200   1.982175499167825e-02
       26300  -3.706490815933370e-03
       26400  -5.870531176654187e-02
       26500   1.432905493558752e-02
       26600  -2.022910907867202e-02
       26700  -4.624847391008591e-03
       26800   3.783656366936389e-02
       26900  -2.314099334100021e-02
       27000   1.683713570819194e-02
       27100   2.684706342921857e-02
       27200  -1.807778734853985e-02
       27300   1.191167739156904e-03
       27400   1.516961996884393e-03
       27500  -9.047696262139620e-03
       27600   1.162570134309243e-02
       27700  -2.920344887043677e-03
       27800   2.628076088973850e-04
       27900  -1.371984444024894e-02
       28000   7.491069466972365e-03
       28100   2.439729659778217e-02
       28200  -3.659078858392163e-03
       28300  -2.317302986789221e-03
       28400  -1.311414805251787e-02
       28500  -5.656061194061562e-03
       28600   1.909216692673069e-02
       28700  -1.953463916242658e-02
       28800   4.363018619510344e-03
       28900  -1.515789513567003e-02
       29000  -8.789439097564980e-03
       29100   2.834030735941421e-02
       29200  -1.634104354591974e-03
       29300  -1.393121381944836e-02
       29400   4.006751636933297e-03
       29500   7.204869646756661e-04
       29600  -1.148170328009472e-02
       29700  -2.975249786235346e-02
       29800   8.443478654912446e-03
       29900  -2.942314810181622e-03
       30000  -6.194138025633305e-03
