     simstep     bin0000
         100        1238
         200        1237
         300        1238
         400        1245
         500        1233
         600        1227
         700        1238
         800        1241
         900        1254
        1000        1254
        1100        1258
        1200        1259
        1300        1259
        1400        1274
        1500        1273
        1600        1280
        1700        1277
        1800        1280
        1900        1295
        2000        1281
        2100        1281
        2200        1283
        2300        1283
        2400        1283
        2500        1276
        2600        1291
        2700        1283
        2800        1279
        2900        1263
        3000        1253
        3100        1260
        3200        1241
        3300        1244
        3400        1240
        3500        1234
        3600        1238
        3700        1236
        3800        1223
        3900        1226
        4000        1219
        4100        1220
        4200        1220
        4300        1215
        4400        1216
        4500        1214
        4600        1215
        4700        1211
        4800        1221
        4900        1224
        5000        1214
        5100        1220
        5200        1218
        5300        1226
        5400        1225
        5500        1220
        5600        1222
        5700        1211
        5800        1212
        5900        1224
        6000        1225
        6100        1215
        6200        1217
        6300        1212
        6400        1208
        6500        1196
        6600        1203
        6700        1180
        6800        1160
        6900        1161
        7000        1156
        7100        1154
        7200        1152
        7300        1153
        7400        1141
        7500        1132
        7600        1129
        7700        1138
        7800        1141
        7900        1129
        8000        1124
        8100        1121
        8200        1106
        8300        1109
        8400        1108
        8500        1104
        8600        1094
        8700        1094
        8800        1089
        8900        1084
        9000        1081
        9100        1084
        9200        1082
        9300        1071
        9400        1065
        9500        1066
        9600        1052
        9700        1038
        9800        1029
        9900        1033
       10000        1040
       10100        1043
       10200        1018
       10300        1011
       10400        1010
       10500         995
       10600         987
       10700         979
       10800         976
       10900         972
       11000         976
       11100         970
       11200         974
       11300         974
       11400         978
       11500         973
       11600         964
       11700         953
       11800         951
       11900         952
       12000         938
       12100         928
       12200         916
       12300         910
       12400         919
       12500         915
       12600         911
       12700         907
       12800         889
       12900         880
       13000         878
       13100         872
       13200         870
       13300         875
       13400         858
       13500         851
       13600         842
       13700         839
       13800         834
       13900         824
       14000         823
       14100         825
       14200         822
       14300         820
       14400         809
       14500         808
       14600         808
       14700         810
       14800         806
       14900         792
       15000         783
       15100         780
       15200         774
       15300         769
       15400         772
       15500         756
       15600         759
       15700         753
       15800         759
       15900         750
       16000         745
       16100         748
       16200         734
       16300         742
       16400         732
       16500         723
       16600         713
       16700         713
       16800         707
       16900         707
       17000         700
       17100         693
       17200         709
       17300         701
       17400         697
       17500         692
       17600         681
       17700         684
       17800         681
       17900         672
       18000         669
       18100         655
       18200         661
       18300         660
       18400         658
       18500         653
       18600         654
       18700         638
       18800         630
       18900         622
       19000         625
       19100         621
       19200         615
       19300         605
       19400         599
       19500         594
       19600         602
       19700         586
       19800         574
       19900         573
       20000         570
       20100         569
       20200         568
       20300         563
       20400         563
       20500         560
       20600         554
       20700         551
       20800         545
       20900         546
       21000         547
       21100         544
       21200         545
       21300         547
       21400         556
       21500         552
       21600         549
       21700         555
       21800         557
       21900         557
       22000         549
       22100         551
       22200         555
       22300         550
       22400         550
       22500         542
       22600         536
       22700         541
       22800         540
       22900         533
       23000         531
       23100         533
       23200         537
       23300         537
       23400         534
       23500         534
       23600         527
       23700         528
       23800         523
       23900         520
       24000         517
       24100         516
       24200         510
       24300         502
       24400         505
       24500         503
       24600         504
       24700         502
       24800         505
       24900         500
       25000         496
       25100         499
       25200         492
       25300         495
       25400         487
       25500         484
       25600         484
       25700         486
       25800         492
       25900         485
       26000         491
       26100         485
       26200         483
       26300         483
       26400         480
       26500         484
       26600         485
       26700         482
       26800         491
       26900         488
       27000         485
       27100         482
       27200         483
       27300         482
       27400         486
       27500         477
       27600         477
       27700         475
       27800         477
       27900         473
       28000         481
       28100         481
       28200         479
       28300         470
       28400         477
       28500         474
       28600         474
       28700         474
       28800         469
       28900         476
       29000         470
       29100         470
       29200         473
       29300         475
       29400         470
       29500         464
       29600         460
       29700         457
       29800         456
       29900         448
       30000         448
