     simstep                    bin1
        1000   1.689758248029204e+02
        2000  -6.359235015996753e+01
        3000   9.064443116313484e+01
        4000  -6.370614109054466e+01
        5000   8.553615182440535e+01
        6000  -8.688299378592372e+01
        7000  -3.032502634718840e+01
        8000   1.246755250016857e+02
        9000   5.561982549227215e-01
       10000   7.203491309773757e+01
       11000  -9.607826072168183e+01
       12000   1.067458642668912e+01
       13000   1.398445505895638e+02
       14000  -3.032112514928358e+01
       15000   7.003425447993905e+00
       16000  -1.635256830328155e+01
       17000   6.997121318903251e+01
       18000  -2.304356233930410e+01
       19000   6.173946457756532e+01
       20000  -1.175744687424292e+02
       21000  -1.234352931508863e+01
       22000  -3.307463341991502e+01
       23000   5.642589698790870e+01
       24000   1.785084887448907e+02
       25000  -1.340971597067406e+02
       26000  -1.131073128217422e+02
       27000   1.720182095321149e+00
       28000   2.754724773126210e+01
       29000  -1.196565734934486e+02
       30000  -8.067941673160168e+01
