     simstep              dBetaTrans                dBetaRot
         100   1.000097200062356e+00   1.000000000000000e+00
         200   9.999163409628327e-01   1.000000000000000e+00
         300   1.000118764678238e+00   1.000000000000000e+00
         400   9.999384641430343e-01   1.000000000000000e+00
         500   1.000084482049843e+00   1.000000000000000e+00
         600   9.999218512801626e-01   1.000000000000000e+00
         700   9.999896495329144e-01   1.000000000000000e+00
         800   1.000028429544983e+00   1.000000000000000e+00
         900   1.000023936568783e+00   1.000000000000000e+00
        1000   1.000070610479904e+00   1.000000000000000e+00
        1100   9.999895248359191e-01   1.000000000000000e+00
        1200   9.999993274613215e-01   1.000000000000000e+00
        1300   9.999715135010818e-01   1.000000000000000e+00
        1400   9.999314714245776e-01   1.000000000000000e+00
        1500   9.999718130562179e-01   1.000000000000000e+00
        1600   1.000026145512169e+00   1.000000000000000e+00
        1700   1.000054293172196e+00   1.000000000000000e+00
        1800   9.999809116983198e-01   1.000000000000000e+00
        1900   1.000003489167715e+00   1.000000000000000e+00
        2000   1.000007718772599e+00   1.000000000000000e+00
        2100   1.000069390212729e+00   1.000000000000000e+00
        2200   1.000024401353654e+00   1.000000000000000e+00
        2300   9.999589331164772e-01   1.000000000000000e+00
        2400   1.000012287062709e+00   1.000000000000000e+00
        2500   1.000075326549150e+00   1.000000000000000e+00
        2600   1.000111937706340e+00   1.000000000000000e+00
        2700   9.999295121968377e-01   1.000000000000000e+00
        2800   9.998785009677782e-01   1.000000000000000e+00
        2900   1.000025054485558e+00   1.000000000000000e+00
        3000   1.000016993684533e+00   1.000000000000000e+00
        3100   9.999601713529349e-01   1.000000000000000e+00
        3200   9.999819927339038e-01   1.000000000000000e+00
        3300   1.000087820182507e+00   1.000000000000000e+00
        3400   1.000109021048947e+00   1.000000000000000e+00
        3500   9.999313644242809e-01   1.000000000000000e+00
        3600   9.999955262048131e-01   1.000000000000000e+00
        3700   9.998888607309314e-01   1.000000000000000e+00
        3800   9.999671438920921e-01   1.000000000000000e+00
        3900   9.999346767821931e-01   1.000000000000000e+00
        4000   1.000079283427568e+00   1.000000000000000e+00
        4100   1.000067843130806e+00   1.000000000000000e+00
        4200   1.000088538475998e+00   1.000000000000000e+00
        4300   1.000062927336101e+00   1.000000000000000e+00
        4400   9.999198743928654e-01   1.000000000000000e+00
        4500   9.999207038869858e-01   1.000000000000000e+00
        4600   1.000050757955183e+00   1.000000000000000e+00
        4700   9.999808822225491e-01   1.000000000000000e+00
        4800   1.000012971550440e+00   1.000000000000000e+00
        4900   1.000007124499466e+00   1.000000000000000e+00
        5000   9.999850769002125e-01   1.000000000000000e+00
        5100   1.000000790210028e+00   1.000000000000000e+00
        5200   1.000082067577976e+00   1.000000000000000e+00
        5300   9.998751782533130e-01   1.000000000000000e+00
        5400   1.000037064194786e+00   1.000000000000000e+00
        5500   9.999853296671922e-01   1.000000000000000e+00
        5600   9.999792662579009e-01   1.000000000000000e+00
        5700   9.999923109143574e-01   1.000000000000000e+00
        5800   1.000077733928922e+00   1.000000000000000e+00
        5900   1.000000067526332e+00   1.000000000000000e+00
        6000   9.998797924523238e-01   1.000000000000000e+00
        6100   9.999658012569953e-01   1.000000000000000e+00
        6200   1.000123151300538e+00   1.000000000000000e+00
        6300   9.999858685446988e-01   1.000000000000000e+00
        6400   9.999800760766298e-01   1.000000000000000e+00
        6500   1.000030725137094e+00   1.000000000000000e+00
        6600   9.999970715383657e-01   1.000000000000000e+00
        6700   9.999819857027603e-01   1.000000000000000e+00
        6800   1.000041587830705e+00   1.000000000000000e+00
        6900   9.998030064566522e-01   1.000000000000000e+00
        7000   1.000063096070720e+00   1.000000000000000e+00
        7100   9.999809701593074e-01   1.000000000000000e+00
        7200   9.999931203246523e-01   1.000000000000000e+00
        7300   1.000001793540276e+00   1.000000000000000e+00
        7400   1.000063355089852e+00   1.000000000000000e+00
        7500   1.000108188944548e+00   1.000000000000000e+00
        7600   1.000031784443019e+00   1.000000000000000e+00
        7700   9.999846911545182e-01   1.000000000000000e+00
        7800   9.999072921978364e-01   1.000000000000000e+00
        7900   1.000035689797778e+00   1.000000000000000e+00
        8000   1.000033266499768e+00   1.000000000000000e+00
        8100   9.999625705687949e-01   1.000000000000000e+00
        8200   9.999940279310749e-01   1.000000000000000e+00
        8300   9.999817877357368e-01   1.000000000000000e+00
        8400   1.000083749577874e+00   1.000000000000000e+00
        8500   1.000006622678172e+00   1.000000000000000e+00
        8600   9.999524597431445e-01   1.000000000000000e+00
        8700   9.999955491254455e-01   1.000000000000000e+00
        8800   1.000010762739433e+00   1.000000000000000e+00
